,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,CAD,Gross Gross Premium,"-3,598","-5,315","-1,206","-7,042","-30,360","-8,702","-15,590","-6,813","-9,079","-7,878","-4,712","-7,719"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,USD,Gross Net Premium,"-4,268",-578,"-3,984",-515,"-1,381",0,"-2,561",-23,-979,-256,"-7,680","-5,634"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,USD,External Brokerage,377,51,352,46,122,0,226,2,86,23,679,498
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,USD,Gross Gross Premium,"-4,645",-629,"-4,336",-561,"-1,503",0,"-2,787",-25,"-1,065",-278,"-8,359","-6,131"
YOA_2022,623,6107,766,BUSA MM Large Risk Cyber,Open Market,USD,Gross Net Premium,"-5,974",0,0,0,0,0,0,0,0,"-10,328","-9,000",0
YOA_2022,623,6107,766,BUSA MM Large Risk Cyber,Open Market,USD,External Brokerage,587,0,0,0,0,0,0,0,0,"1,015",884,0
YOA_2022,623,6107,766,BUSA MM Large Risk Cyber,Open Market,USD,Gross Gross Premium,"-6,561",0,0,0,0,0,0,0,0,"-11,342","-9,884",0
YOA_2022,623,6107,768,TMB Large Risk Cyber,Open Market,USD,Gross Net Premium,0,"-29,732",0,0,"-21,898",0,"-15,811","-10,125","-13,478","-30,925","-33,972","-20,316"
YOA_2022,623,6107,768,TMB Large Risk Cyber,Open Market,USD,External Brokerage,0,"2,300",0,0,"1,694",0,"1,223",783,"1,043","2,393","2,628","1,572"
YOA_2022,623,6107,768,TMB Large Risk Cyber,Open Market,USD,Gross Gross Premium,0,"-32,032",0,0,"-23,592",0,"-17,035","-10,908","-14,520","-33,318","-36,601","-21,888"
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Delegated,USD,Gross Net Premium,0,0,0,0,0,0,0,0,0,"-4,474",0,"4,474"
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Delegated,USD,External Brokerage,0,0,0,0,0,0,0,0,0,589,0,-589
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Delegated,USD,Gross Gross Premium,0,0,0,0,0,0,0,0,0,"-5,063",0,"5,063"
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,GBP,Gross Net Premium,0,0,"-7,871",0,0,0,0,"-23,710",0,0,"-14,449",0
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,GBP,External Brokerage,0,0,294,0,0,0,0,885,0,0,539,0
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,GBP,Gross Gross Premium,0,0,"-8,164",0,0,0,0,"-24,595",0,0,"-14,989",0
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,USD,Gross Net Premium,0,-108,0,0,0,0,-459,0,"-5,693",-765,"-4,163","-4,474"
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,USD,External Brokerage,0,4,0,0,0,0,17,0,213,29,155,167
YOA_2022,623,6107,770,TMB INT Large Risk Cyber,Open Market,USD,Gross Gross Premium,0,-112,0,0,0,0,-476,0,"-5,905",-794,"-4,318","-4,641"
YOA_2022,2623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Net Premium,"-247,801","-137,050","-227,106","-241,959","-237,120","-252,134","-380,166","-180,232","-184,068","-172,272","-138,848","-147,410"
YOA_2022,2623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,External Brokerage,"60,705","33,574","55,635","59,274","58,088","61,766","93,131","44,152","45,092","42,202","34,014","36,112"
YOA_2022,2623,6107,723,BUSA TMB PE US Info Sec,Open Market,USD,Gross Gross Premium,"-308,506","-170,623","-282,741","-301,232","-295,208","-313,900","-473,296","-224,384","-229,160","-214,474","-172,862","-183,522"
YOA_2022,2623,6107,TRI00004,Cat,Open Market,GBP,Gross Net Premium,"-1,253,785",0,0,"-1,255,571",0,"-518,694","-517,377","-18,229",0,"-11,551",0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,GBP,External Brokerage,"164,203",0,0,"164,437",0,"67,931","67,759","2,387",0,"1,513",0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,GBP,Gross Gross Premium,"-1,417,988",0,0,"-1,420,008",0,"-586,626","-585,136","-20,616",0,"-13,064",0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,EUR,Gross Net Premium,"-1,959,764",0,0,0,0,0,"-25,458",0,0,0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,EUR,External Brokerage,"256,662",0,0,0,0,0,"3,334",0,0,0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,EUR,Gross Gross Premium,"-2,216,426",0,0,0,0,0,"-28,792",0,0,0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,CAD,Gross Net Premium,"-1,460,342",0,0,"-10,433",0,0,"-40,575",0,"-5,904",0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,CAD,External Brokerage,"191,255",0,0,"1,366",0,0,"5,314",0,773,0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,CAD,Gross Gross Premium,"-1,651,597",0,0,"-11,799",0,0,"-45,889",0,"-6,677",0,0,0
YOA_2022,2623,6107,TRI00004,Cat,Open Market,USD,Gross Net Premium,"-5,069,805","-58,488","-207,356","-697,366","-668,726","-4,852,109","-2,615,314","-14,866","-13,271","-84,569",0,"-445,746"
YOA_2022,2623,6107,TRI00004,Cat,Open Market,USD,External Brokerage,"663,971","7,660","27,157","91,331","87,580","635,461","342,517","1,947","1,738","11,076",0,"58,378"
YOA_2022,2623,6107,TRI00004,Cat,Open Market,USD,Gross Gross Premium,"-5,733,777","-66,148","-234,512","-788,697","-756,306","-5,487,570","-2,957,831","-16,813","-15,009","-95,645",0,"-504,124"
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Net Premium,"-95,541",0,0,"-188,464",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,GBP,External Brokerage,"14,403",0,0,"28,411",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,GBP,Gross Gross Premium,"-109,944",0,0,"-216,875",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Net Premium,0,0,0,"-15,382",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,EUR,External Brokerage,0,0,0,"2,319",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,EUR,Gross Gross Premium,0,0,0,"-17,701",0,0,0,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,CAD,Gross Net Premium,"-11,446",0,0,0,0,0,"-5,441",0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,CAD,External Brokerage,"1,725",0,0,0,0,0,820,0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,CAD,Gross Gross Premium,"-13,172",0,0,0,0,0,"-6,261",0,0,0,0,0
YOA_2022,2623,6107,TRI00012,Ex Cat,Open Market,USD,Gross Net Premium,"-390,073",0,0,"-144,857","-129,913","-73,743","-504,315",0,0,0,0,"-28,330"
